one,other,angle
144,145,89.91832218803616
144,146,0.051540825217516434
145,103,87.95951166387209
145,137,5.00862821984209
145,138,91.50528402931648
145,143,0.13665045759285938
145,144,89.91832218803616
145,146,90.13321473482708
146,143,90.00342877076841
146,144,0.051540825217516434
146,145,90.13321473482708
146,147,86.48265177833599
146,148,93.51991996726179
147,102,64.48258415059189
147,103,95.42462182300078
147,104,0.09556130294240582
147,146,86.48265177833599
147,148,0.0029115466448663497
148,146,93.51991996726179
148,147,0.0029115466448663497
148,149,80.14009434674111
148,152,100.01910078246723
149,143,96.33655691532259
149,152,0.1591970007614287
149,148,80.14009434674111
149,142,1.2665060715939054
150,228,73.6453743566267
150,246,15.412329890422507
150,151,57.71327324659548
150,152,75.61334020317514
151,152,17.90006695661209
151,150,57.71327324659548
152,227,70.4918565167104
152,148,100.01910078246723
152,149,0.1591970007614287
152,150,75.61334020317514
152,151,17.90006695661209
153,159,2.5687643226673855
153,154,93.79983394596272
153,227,86.79271214123682
154,159,88.76893022816877
154,153,93.79983394596272
154,155,16.190252426573814
154,156,91.67754189341998
155,154,16.190252426573814
155,156,104.5127104963889
155,102,95.1758738536438
156,154,91.67754189341998
156,155,104.5127104963889
156,157,84.77014949555446
156,158,91.0790253322576
157,100,93.47304688219593
157,101,0.4998473328740399
157,102,85.89301386155235
157,156,84.77014949555446
157,158,4.150825351865714
158,160,86.527754567966
158,161,91.32667223481249
158,156,91.0790253322576
158,157,4.150825351865714
159,160,1.9467480930449572
159,211,95.60203357187427
159,153,2.5687643226673855
159,154,88.76893022816877
160,159,1.9467480930449572
160,161,2.145573249130784
160,211,82.45121847104241
160,158,86.527754567966
161,160,2.145573249130784
161,162,90.1190564675658
161,158,91.32667223481249
162,161,90.1190564675658
162,98,99.21258200465489
162,163,90.35295444589019
162,99,5.9798029787573705
162,100,81.16851215847821
162,209,5.231000928680831
163,162,90.35295444589019
163,164,93.2217684237585
163,165,0.9427756262827764
163,209,84.41604508057006
164,97,10.644437537375783
164,98,77.2126951260976
164,163,93.2217684237585
164,165,87.72100697862297
164,80,102.56055523950695
165,167,27.20893050470086
165,163,0.9427756262827764
165,164,87.72100697862297
165,166,92.37959646022541
166,165,92.37959646022541
166,167,60.41147305251457
166,79,123.08291169628265
166,80,77.338841321923
166,81,14.302314762963038
167,168,72.60576346990047
167,169,12.980559225666854
167,165,27.20893050470086
167,166,60.41147305251457
168,167,72.60576346990047
168,169,94.41367732860635
168,57,78.06564166008414
168,58,102.61455143519049
168,59,13.960992958417688
169,167,12.980559225666854
169,168,94.41367732860635
169,170,88.55279970798809
169,171,0.5403917528646238
170,169,88.55279970798809
170,171,91.98759163144123
170,55,0.05105198820066495
170,56,89.23590161895969
170,57,98.96788130362324
171,169,0.5403917528646238
171,170,91.98759163144123
171,196,88.01500147076868
171,172,0.5628974551571229
172,193,88.21400768661482
172,196,92.54789556407877
172,171,0.5628974551571229
172,173,92.1742812209846
172,174,0.3474837813460772
173,193,0.3882922255881939
173,37,0.328088241690502
173,38,91.58118172015006
173,39,86.42270890937176
173,172,92.1742812209846
173,174,87.47823562280632
174,191,87.61369265926132
174,193,92.1334754879622
174,172,0.3474837813460772
174,173,87.47823562280632
174,175,1.1999697179725886
175,191,91.18633777926121
175,176,1.297328022922542
175,177,88.86970480014996
175,174,1.1999697179725886
176,14,90.49807229276009
176,175,1.297328022922542
176,177,89.83296755610884
176,15,0.5552171702163965
177,175,88.86970480014996
177,176,89.83296755610884
177,178,0.09810470785132944
177,190,89.89740991377366
